"wave","m1","m2","m3","m4","m5","m6","s1","s2","s3","s4","s5","s6","t1","t2","t3","t4","t5","t6"
1070,22.1766666666667,18.9966666666667,25.2466666666667,24.3466666666667,24.4433333333333,16.84,10.7933333333333,12.0366666666667,16.5833333333333,15.7366666666667,15.5733333333333,17.33,38.6166666666667,24.8866666666667,12.7366666666667,18.8866666666667,27.58,23.09
1080,22.2266666666667,19.06,25.2033333333333,24.3733333333333,24.4166666666667,16.8733333333333,10.8066666666667,12.0333333333333,16.6066666666667,15.75,15.5833333333333,17.3433333333333,38.7066666666667,25.0033333333333,12.7333333333333,18.9466666666667,27.6133333333333,23.1266666666667
1090,22.245,19.095,25.1,24.325,24.3,16.865,10.81,11.995,16.585,15.735,15.57,17.31,38.69,25.03,12.645,18.88,27.535,23.005
1100,22.2133333333333,19.05,24.9133333333333,24.24,24.15,16.8066666666667,10.7866666666667,11.9166666666667,16.47,15.67,15.49,17.1966666666667,38.55,25.0366666666667,12.4733333333333,18.7766666666667,27.4266666666667,22.86
1110,22.24,19.07,24.56,24.015,23.725,16.66,10.715,11.72,16.37,15.57,15.275,17,38.29,24.85,12.045,18.33,26.905,22.17
1120,21.59,18.4833333333333,23.4733333333333,22.96,22.9533333333333,15.8933333333333,10.3966666666667,11.3133333333333,15.8166666666667,15.1966666666667,14.8333333333333,16.46,36.6766666666667,24.3233333333333,11.35,17.69,26.2533333333333,21.4566666666667
1130,20.4733333333333,17.7966666666667,23.6833333333333,22.88,23.17,16.0566666666667,10.28,11.2433333333333,15.4933333333333,15.2033333333333,15.02,16.4533333333333,35.85,24.3966666666667,12.1533333333333,18.2,27.61,22.9766666666667
1140,20.18,17.705,23.545,22.65,22.775,16.02,10.335,11.135,15.36,15.21,14.91,16.355,35.585,23.58,11.68,17.39,26.805,21.855
1150,19,16.79,22.7366666666667,21.68,22.13,15.49,10.0666666666667,10.8566666666667,14.6966666666667,14.9633333333333,14.69,15.9866666666667,33.66,22.28,11.2066666666667,16.4066666666667,26.0933333333333,20.9266666666667
1160,18.47,16.55,22.5366666666667,21.2,21.6566666666667,15.3166666666667,10.01,10.66,14.4933333333333,14.9233333333333,14.6466666666667,15.8933333333333,32.72,20.9533333333333,10.7566666666667,15.4866666666667,25.0933333333333,19.53
1170,18.51,16.645,22.385,21.03,21.33,15.245,9.99,10.6,14.51,14.905,14.565,15.875,32.505,20.315,10.35,14.925,24.33,18.56
1180,18.5566666666667,16.6766666666667,22.2933333333333,20.94,21.2066666666667,15.21,10.0133333333333,10.5733333333333,14.55,14.9266666666667,14.5533333333333,15.87,32.4233333333333,20.1166666666667,10.18,14.76,24.02,18.2233333333333
1190,18.4933333333333,16.66,22.2666666666667,20.8833333333333,21.19,15.2166666666667,10.0166666666667,10.5866666666667,14.5566666666667,14.9633333333333,14.6066666666667,15.9133333333333,32.28,19.9933333333333,10.17,14.7433333333333,23.9933333333333,18.1633333333333
1200,18.565,16.725,22.28,20.92,21.195,15.25,10.03,10.615,14.615,15.015,14.655,15.955,32.335,20.015,10.18,14.77,23.98,18.15
1210,18.74,16.8533333333333,22.4033333333333,21.11,21.3233333333333,15.3733333333333,10.11,10.6766666666667,14.7433333333333,15.0966666666667,14.7433333333333,16.0933333333333,32.61,20.3233333333333,10.31,14.9666666666667,24.1533333333333,18.4033333333333
1220,19.0766666666667,17.1566666666667,22.6233333333333,21.39,21.5533333333333,15.55,10.2,10.8,14.97,15.24,14.8933333333333,16.2733333333333,33.07,20.8466666666667,10.5166666666667,15.2633333333333,24.4133333333333,18.7633333333333
